periodo,sector_agregado,valor
2005-04-01,Hogares privados con servicio doméstico,3251.4960360059276
2005-04-01,Hoteles y restaurantes,6995.167237105141
2005-04-01,Industria manufacturera,99507.4005604783
2005-04-01,Intermediación financiera,16429.372068813587
2005-04-01,"Otras actividades de servicios comunitarias, sociales y personales",13241.573322425227
2005-04-01,Pesca,2051.7095828968663
2005-04-01,Servicios sociales y de salud,14923.170968466236
2005-04-01,"Transporte, almacenamiento y comunicaciones",35556.97518855344
2005-04-01,Total economía,498534.243797462
2005-07-01,"Actividades inmobiliarias, empresariales y de alquiler",56919.94137119615
2005-07-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,22785.0411180016
2005-07-01,"Agricultura, ganadería, caza y silvicultura",28907.536316885165
2005-07-01,"Comercio mayorista, minorista y reparaciones",66664.11220188576
2005-07-01,Construcción,16917.00798702518
2005-07-01,"Electricidad, gas y agua",9585.864633266843
2005-07-01,Enseñanza,18245.411600857173
2005-07-01,Explotación de minas y canteras,24723.07694031871
2005-07-01,Hogares privados con servicio doméstico,3277.417897906947
2005-07-01,Hoteles y restaurantes,8002.992437113693
2005-07-01,Industria manufacturera,100147.71693446944
2005-07-01,Intermediación financiera,16751.991265111403
2005-07-01,"Otras actividades de servicios comunitarias, sociales y personales",14099.119995724162
2005-07-01,Pesca,827.9645291797311
2005-07-01,Servicios sociales y de salud,15022.478366059471
2005-07-01,"Transporte, almacenamiento y comunicaciones",34399.091299560874
2005-07-01,Total economía,437276.76489456213
2005-10-01,"Actividades inmobiliarias, empresariales y de alquiler",58768.1395886301
2005-10-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,23329.969236838497
2005-10-01,"Agricultura, ganadería, caza y silvicultura",31395.873216081687
2005-10-01,"Comercio mayorista, minorista y reparaciones",66758.31566193266
2005-10-01,Construcción,17326.340891361928
2005-10-01,"Electricidad, gas y agua",8971.229859380815
2005-10-01,Enseñanza,18676.43117164389
2005-10-01,Explotación de minas y canteras,23704.850409652063
2005-10-01,Hogares privados con servicio doméstico,3385.0691925823025
2005-10-01,Hoteles y restaurantes,8200.002954940968
2005-10-01,Industria manufacturera,103351.2625929564
2005-10-01,Intermediación financiera,17319.477561233878
2005-10-01,"Otras actividades de servicios comunitarias, sociales y personales",13946.893432178242
2005-10-01,Pesca,1141.4127698321624
2005-10-01,Servicios sociales y de salud,14292.369220316512
2005-10-01,"Transporte, almacenamiento y comunicaciones",35193.8332855189
2005-10-01,Total economía,445761.4710450811
2005-Total,"Actividades inmobiliarias, empresariales y de alquiler",56102.65294901571
2005-Total,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,22732.495947438063
2005-Total,"Agricultura, ganadería, caza y silvicultura",46858.12510242008
2005-Total,"Comercio mayorista, minorista y reparaciones",66288.7238799301
2005-Total,Construcción,16763.24490688766
2005-Total,"Electricidad, gas y agua",9234.71842231087
2005-Total,Enseñanza,18106.094212813263
2005-Total,Explotación de minas y canteras,24246.34912073674
2005-Total,Hogares privados con servicio doméstico,3298.9441874035865
2005-Total,Hoteles y restaurantes,7776.009519820215
2005-Total,Industria manufacturera,98685.71452141044
2005-Total,Intermediación financiera,16562.883720984777
2005-Total,"Otras actividades de servicios comunitarias, sociales y personales",13557.131452507483
2005-Total,Pesca,1331.620782209225
2005-Total,Servicios sociales y de salud,14515.933227320103
2005-Total,"Transporte, almacenamiento y comunicaciones",34242.69038119117
2005-Total,Total economía,450303.33233439946
2006-01-01,"Actividades inmobiliarias, empresariales y de alquiler",56565.24211120531
2006-01-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,22961.668173582708
2006-01-01,"Agricultura, ganadería, caza y silvicultura",34290.22272928828
2006-01-01,"Comercio mayorista, minorista y reparaciones",70204.71290341315
2006-01-01,Construcción,18594.36147225261
2006-01-01,"Electricidad, gas y agua",9418.48009879397
2006-01-01,Enseñanza,18079.458832613927
2006-01-01,Explotación de minas y canteras,24711.16939013534
2006-01-01,Hogares privados con servicio doméstico,3518.8590711751363
2006-01-01,Hoteles y restaurantes,8948.323789280403
2006-01-01,Industria manufacturera,99844.3485906839
2006-01-01,Intermediación financiera,17854.653010916376
2006-01-01,"Otras actividades de servicios comunitarias, sociales y personales",14305.192414585936
2006-01-01,Pesca,2094.0123051742376
2006-01-01,Servicios sociales y de salud,14127.902637787647
2006-01-01,"Transporte, almacenamiento y comunicaciones",36004.96294060429
2006-01-01,Total economía,451523.5704714933
2006-04-01,"Actividades inmobiliarias, empresariales y de alquiler",59643.468461245255
2006-04-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,23322.114615152517
2006-04-01,"Agricultura, ganadería, caza y silvicultura",85996.68871571272
2006-04-01,"Comercio mayorista, minorista y reparaciones",73877.9746395367
2006-04-01,Construcción,18270.29439084015
2006-04-01,"Electricidad, gas y agua",9674.179831071058
2006-04-01,Enseñanza,18739.286737781855
2006-04-01,Explotación de minas y canteras,25903.17808831301
2006-04-01,Hogares privados con servicio doméstico,3465.80248239223
2006-04-01,Hoteles y restaurantes,8035.31080869396
2006-04-01,Industria manufacturera,107920.8162050454
2006-04-01,Intermediación financiera,18172.989927402858
2006-04-01,"Otras actividades de servicios comunitarias, sociales y personales",14895.47470898262
2006-04-01,Pesca,3182.161513753399
2006-04-01,Servicios sociales y de salud,15354.323272967342
2006-04-01,"Transporte, almacenamiento y comunicaciones",39413.153047417894
2006-04-01,Total economía,525867.2174463087
2006-07-01,"Actividades inmobiliarias, empresariales y de alquiler",60566.58339505055
2006-07-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,23731.785447894163
2006-07-01,"Agricultura, ganadería, caza y silvicultura",31559.014616755627
2006-07-01,"Comercio mayorista, minorista y reparaciones",74125.37314337348
2006-07-01,Construcción,19208.4620872448
2006-07-01,"Electricidad, gas y agua",10075.947217334518
2006-07-01,Enseñanza,19093.60626568443
2006-07-01,Explotación de minas y canteras,26258.137240431304
2006-07-01,Hogares privados con servicio doméstico,3606.7960152987953
2006-07-01,Hoteles y restaurantes,8776.825452479023
2006-07-01,Industria manufacturera,110311.80167259982
2006-07-01,Intermediación financiera,18908.10540986513
2006-07-01,"Otras actividades de servicios comunitarias, sociales y personales",15474.71472972896
2006-07-01,Pesca,2011.618519347302
2006-07-01,Servicios sociales y de salud,15339.019179232952
2006-07-01,"Transporte, almacenamiento y comunicaciones",38824.68729742289
2006-07-01,Total economía,477872.4776897437
2006-10-01,"Actividades inmobiliarias, empresariales y de alquiler",62559.98568992942
2006-10-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,23997.629239887137
2006-10-01,"Agricultura, ganadería, caza y silvicultura",31375.576451536945
2006-10-01,"Comercio mayorista, minorista y reparaciones",74658.80555308826
2006-10-01,Construcción,19278.05596893128
2006-10-01,"Electricidad, gas y agua",9931.082999291812
2006-10-01,Enseñanza,19456.914543875464
2006-10-01,Explotación de minas y canteras,25351.82894824281
2006-10-01,Hogares privados con servicio doméstico,3826.0502168577536
2006-10-01,Hoteles y restaurantes,9026.79766138355
2006-10-01,Industria manufacturera,112586.64840963585
2006-10-01,Intermediación financiera,20035.082703558357
2006-10-01,"Otras actividades de servicios comunitarias, sociales y personales",14845.736718277803
2006-10-01,Pesca,1236.6425163845756
2006-10-01,Servicios sociales y de salud,14625.888597426236
2006-10-01,"Transporte, almacenamiento y comunicaciones",39900.35354341274
2006-10-01,Total economía,482693.07976172
2006-Total,"Actividades inmobiliarias, empresariales y de alquiler",59833.819914357635
2006-Total,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,23503.299369129138
2006-Total,"Agricultura, ganadería, caza y silvicultura",45805.37562832339
2006-Total,"Comercio mayorista, minorista y reparaciones",73216.7165598529
2006-Total,Construcción,18837.79347981721
2006-Total,"Electricidad, gas y agua",9774.92253662284
2006-Total,Enseñanza,18842.31659498892
2006-Total,Explotación de minas y canteras,25556.078416780616
2006-Total,Hogares privados con servicio doméstico,3604.376946430979
2006-Total,Hoteles y restaurantes,8696.814427959234
2006-Total,Industria manufacturera,107665.90371949124
2006-Total,Intermediación financiera,18742.70776293568
2006-Total,"Otras actividades de servicios comunitarias, sociales y personales",14880.27964289383
2006-Total,Pesca,2131.108713664878
2006-Total,Servicios sociales y de salud,14861.783421853544
2006-Total,"Transporte, almacenamiento y comunicaciones",38535.78920721445
2006-Total,Total economía,484489.08634231647
2007-01-01,"Actividades inmobiliarias, empresariales y de alquiler",59807.826624922935
2007-01-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,24258.100508944877
2007-01-01,"Agricultura, ganadería, caza y silvicultura",35832.61691651189
2007-01-01,"Comercio mayorista, minorista y reparaciones",77311.68620251781
2007-01-01,Construcción,20744.61650092059
2007-01-01,"Electricidad, gas y agua",9911.428146789362
2007-01-01,Enseñanza,19238.070839573014
2007-01-01,Explotación de minas y canteras,24421.849403380944
2007-01-01,Hogares privados con servicio doméstico,3632.3209056138753
2007-01-01,Hoteles y restaurantes,10067.162888218134
2007-01-01,Industria manufacturera,106109.73215014148
2007-01-01,Intermediación financiera,20836.01665795337
2007-01-01,"Otras actividades de servicios comunitarias, sociales y personales",15863.034490451786
2007-01-01,Pesca,1781.7937257507858
2007-01-01,Servicios sociales y de salud,15085.099265369798
2007-01-01,"Transporte, almacenamiento y comunicaciones",40713.37999771587
2007-01-01,Total economía,485614.7352247767
2007-04-01,"Actividades inmobiliarias, empresariales y de alquiler",62928.54102749223
2007-04-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,24738.32144017959
2007-04-01,"Agricultura, ganadería, caza y silvicultura",100598.73591898482
2007-04-01,"Comercio mayorista, minorista y reparaciones",81609.00967356989
2007-04-01,Construcción,20195.176603676467
2007-04-01,"Electricidad, gas y agua",10160.779240407648
2007-04-01,Enseñanza,19882.193369813413
2007-04-01,Explotación de minas y canteras,25328.885017338172
2007-04-01,Hogares privados con servicio doméstico,3708.0721977297258
2007-04-01,Hoteles y restaurantes,8913.033095799161
2007-04-01,Industria manufacturera,115422.67996051794
2007-04-01,Intermediación financiera,21179.773226971327
2007-04-01,"Otras actividades de servicios comunitarias, sociales y personales",15815.204334400883
2007-04-01,Pesca,3313.9251006997806
2007-04-01,Servicios sociales y de salud,16466.743113236855
2007-04-01,"Transporte, almacenamiento y comunicaciones",44966.41799804854
2007-04-01,Total economía,575227.4913188666
2007-07-01,"Actividades inmobiliarias, empresariales y de alquiler",64308.217635443565
2007-07-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,24888.288661207953
2007-07-01,"Agricultura, ganadería, caza y silvicultura",31867.383961432944
2007-07-01,"Comercio mayorista, minorista y reparaciones",82877.5629450475
2007-07-01,Construcción,21437.35878479816
2007-07-01,"Electricidad, gas y agua",10089.547905429268
2007-07-01,Enseñanza,20122.237213985383
2007-07-01,Explotación de minas y canteras,25129.993014774343
2007-07-01,Hogares privados con servicio doméstico,3645.2880763451576
2007-07-01,Hoteles y restaurantes,9521.631637510838
2007-07-01,Industria manufacturera,117189.72439832998
2007-07-01,Intermediación financiera,21467.052482572657
2007-07-01,"Otras actividades de servicios comunitarias, sociales y personales",16945.798773966857
2007-07-01,Pesca,1655.27817085649
2007-07-01,Servicios sociales y de salud,16140.472132493906
2007-07-01,"Transporte, almacenamiento y comunicaciones",43519.23816551845
2007-07-01,Total economía,510805.0739597137
2007-10-01,"Actividades inmobiliarias, empresariales y de alquiler",65715.13994705427
2007-10-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,25416.22651078308
2007-10-01,"Agricultura, ganadería, caza y silvicultura",32157.92860049276
2007-10-01,"Comercio mayorista, minorista y reparaciones",85215.80882818274
2007-10-01,Construcción,21083.055778812028
2007-10-01,"Electricidad, gas y agua",9938.62703328183
2007-10-01,Enseñanza,20469.9831761148
2007-10-01,Explotación de minas y canteras,24844.002011902587
2007-10-01,Hogares privados con servicio doméstico,3777.355898285993
2007-10-01,Hoteles y restaurantes,9974.185113969836
2007-10-01,Industria manufacturera,124387.53519739502
2007-10-01,Intermediación financiera,21936.08642647473
2007-10-01,"Otras actividades de servicios comunitarias, sociales y personales",15687.108117744729
2007-10-01,Pesca,908.7431739661098
2007-10-01,Servicios sociales y de salud,15581.86355023659
2007-10-01,"Transporte, almacenamiento y comunicaciones",44514.8985442445
2007-10-01,Total economía,521608.5479089415
2007-Total,"Actividades inmobiliarias, empresariales y de alquiler",63189.93130872825
2007-Total,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,24825.234280278877
2007-Total,"Agricultura, ganadería, caza y silvicultura",50114.16634935561
2007-Total,"Comercio mayorista, minorista y reparaciones",81753.51691232948
2007-Total,Construcción,20865.051917051813
2007-Total,"Electricidad, gas y agua",10025.095581477028
2007-Total,Enseñanza,19928.121149871655
2007-Total,Explotación de minas y canteras,24931.182361849013
2007-Total,Hogares privados con servicio doméstico,3690.759269493688
2007-Total,Hoteles y restaurantes,9619.00318387449
2007-Total,Industria manufacturera,115777.41792659608
2007-Total,Intermediación financiera,21354.73219849302
2007-Total,"Otras actividades de servicios comunitarias, sociales y personales",16077.786429141062
2007-Total,Pesca,1914.935042818291
2007-Total,Servicios sociales y de salud,15818.544515334288
2007-Total,"Transporte, almacenamiento y comunicaciones",43428.48367638184
2007-Total,Total economía,523313.9621030746
2008-01-01,"Actividades inmobiliarias, empresariales y de alquiler",63838.48848943655
2008-01-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,25046.759129928894
2008-01-01,"Agricultura, ganadería, caza y silvicultura",35233.10097074534
2008-01-01,"Comercio mayorista, minorista y reparaciones",84125.19954786196
2008-01-01,Construcción,22349.239324625967
2008-01-01,"Electricidad, gas y agua",10594.572647815685
2008-01-01,Enseñanza,19700.06547821313
2008-01-01,Explotación de minas y canteras,24610.756338362095
2008-01-01,Hogares privados con servicio doméstico,3900.553071963411
2008-01-01,Hoteles y restaurantes,10492.103853704884
2008-01-01,Industria manufacturera,113475.78486114363
2008-01-01,Intermediación financiera,22346.344368300357
2008-01-01,"Otras actividades de servicios comunitarias, sociales y personales",16520.88970812028
2008-01-01,Pesca,1202.9574299525443
2008-01-01,Servicios sociales y de salud,15980.78140248804
2008-01-01,"Transporte, almacenamiento y comunicaciones",44565.070359688885
2008-01-01,Total economía,513982.6669823517
2008-04-01,"Actividades inmobiliarias, empresariales y de alquiler",67409.04689264251
2008-04-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,25798.408182982555
2008-04-01,"Agricultura, ganadería, caza y silvicultura",98310.7729408629
2008-04-01,"Comercio mayorista, minorista y reparaciones",90604.86042601288
2008-04-01,Construcción,22101.18602489383
2008-04-01,"Electricidad, gas y agua",10491.405663365807
2008-04-01,Enseñanza,20745.02664982189
2008-04-01,Explotación de minas y canteras,23479.310908446707
2008-04-01,Hogares privados con servicio doméstico,3862.832605227243
2008-04-01,Hoteles y restaurantes,9078.515774470809
2008-04-01,Industria manufacturera,123448.05224132763
2008-04-01,Intermediación financiera,22672.538851789446
2008-04-01,"Otras actividades de servicios comunitarias, sociales y personales",17054.06111033603
2008-04-01,Pesca,3568.884431793675
2008-04-01,Servicios sociales y de salud,17633.99501268488
2008-04-01,"Transporte, almacenamiento y comunicaciones",47592.18477053264
2008-04-01,Total economía,603851.0824871914
2008-07-01,"Actividades inmobiliarias, empresariales y de alquiler",67626.66572919562
2008-07-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,26175.862082198328
2008-07-01,"Agricultura, ganadería, caza y silvicultura",32467.88452119133
2008-07-01,"Comercio mayorista, minorista y reparaciones",88740.3908809236
2008-07-01,Construcción,22443.40230748471
2008-07-01,"Electricidad, gas y agua",10736.486875784163
2008-07-01,Enseñanza,21189.237625049213
2008-07-01,Explotación de minas y canteras,25206.886564043576
2008-07-01,Hogares privados con servicio doméstico,3789.2981058903183
2008-07-01,Hoteles y restaurantes,9637.748237737564
2008-07-01,Industria manufacturera,126049.95023852497
2008-07-01,Intermediación financiera,22753.57489272215
2008-07-01,"Otras actividades de servicios comunitarias, sociales y personales",17569.31350089285
2008-07-01,Pesca,2094.9922297806856
2008-07-01,Servicios sociales y de salud,17345.564698714672
2008-07-01,"Transporte, almacenamiento y comunicaciones",46157.49928526468
2008-07-01,Total economía,539984.7577753984
2008-10-01,"Actividades inmobiliarias, empresariales y de alquiler",67774.21093197966
2008-10-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,26371.850670341897
2008-10-01,"Agricultura, ganadería, caza y silvicultura",29488.908802370475
2008-10-01,"Comercio mayorista, minorista y reparaciones",80844.60985707233
2008-10-01,Construcción,20070.714151131466
2008-10-01,"Electricidad, gas y agua",10221.24692092562
2008-10-01,Enseñanza,21414.46645972499
2008-10-01,Explotación de minas y canteras,25296.793436245334
2008-10-01,Hogares privados con servicio doméstico,3747.6338963691655
2008-10-01,Hoteles y restaurantes,9459.085922761806
2008-10-01,Industria manufacturera,116905.55073363564
2008-10-01,Intermediación financiera,22967.176418583964
2008-10-01,"Otras actividades de servicios comunitarias, sociales y personales",16408.25903499334
2008-10-01,Pesca,1199.851672593308
2008-10-01,Servicios sociales y de salud,16441.799199537014
2008-10-01,"Transporte, almacenamiento y comunicaciones",44846.45793965125
2008-10-01,Total economía,513458.61604791734
2008-Total,"Actividades inmobiliarias, empresariales y de alquiler",66662.10301081359
2008-Total,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,25848.220016362917
2008-Total,"Agricultura, ganadería, caza y silvicultura",48875.166808792514
2008-Total,"Comercio mayorista, minorista y reparaciones",86078.7651779677
2008-Total,Construcción,21741.135452033992
2008-Total,"Electricidad, gas y agua",10510.92802697282
2008-Total,Enseñanza,20762.19905320231
2008-Total,Explotación de minas y canteras,24648.43681177443
2008-Total,Hogares privados con servicio doméstico,3825.079419862535
2008-Total,Hoteles y restaurantes,9666.863447168766
2008-Total,Industria manufacturera,119969.83451865798
2008-Total,Intermediación financiera,22684.90863284898
2008-Total,"Otras actividades de servicios comunitarias, sociales y personales",16888.130838585625
2008-Total,Pesca,2016.6714410300533
2008-Total,Servicios sociales y de salud,16850.53507835615
2008-Total,"Transporte, almacenamiento y comunicaciones",45790.30308878436
2008-Total,Total economía,542819.2808232148
2009-01-01,"Actividades inmobiliarias, empresariales y de alquiler",62778.28299030678
2009-01-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,25977.33329547013
2009-01-01,"Agricultura, ganadería, caza y silvicultura",29780.836736972957
2009-01-01,"Comercio mayorista, minorista y reparaciones",75107.37403942653
2009-01-01,Construcción,18881.38821273549
2009-01-01,"Electricidad, gas y agua",10481.74371107269
2009-01-01,Enseñanza,20706.49625311063
2009-01-01,Explotación de minas y canteras,25105.029425308756
2009-01-01,Hogares privados con servicio doméstico,3951.724706139272
2009-01-01,Hoteles y restaurantes,9707.976073976724
2009-01-01,Industria manufacturera,99731.97958782518
2009-01-01,Intermediación financiera,22527.86069429192
2009-01-01,"Otras actividades de servicios comunitarias, sociales y personales",16406.382498780353
2009-01-01,Pesca,1048.6947077085088
2009-01-01,Servicios sociales y de salud,17093.428363954205
2009-01-01,"Transporte, almacenamiento y comunicaciones",43713.04616133848
2009-01-01,Total economía,482999.5774584185
2009-04-01,"Actividades inmobiliarias, empresariales y de alquiler",64676.24151625689
2009-04-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,26102.56069870124
2009-04-01,"Agricultura, ganadería, caza y silvicultura",58364.434149642264
2009-04-01,"Comercio mayorista, minorista y reparaciones",78251.1508418703
2009-04-01,Construcción,18156.680501244813
2009-04-01,"Electricidad, gas y agua",10654.127549097871
2009-04-01,Enseñanza,21050.54354894769
2009-04-01,Explotación de minas y canteras,24844.855664395676
2009-04-01,Hogares privados con servicio doméstico,3935.7749022386856
2009-04-01,Hoteles y restaurantes,8999.809322019742
2009-04-01,Industria manufacturera,110280.7814303784
2009-04-01,Intermediación financiera,22729.531731986663
2009-04-01,"Otras actividades de servicios comunitarias, sociales y personales",16809.913146305407
2009-04-01,Pesca,2205.340691075655
2009-04-01,Servicios sociales y de salud,18877.49356838045
2009-04-01,"Transporte, almacenamiento y comunicaciones",46792.316487219
2009-04-01,Total economía,532731.5557497607
2009-07-01,"Actividades inmobiliarias, empresariales y de alquiler",65115.035371230784
2009-07-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,27179.692763161616
2009-07-01,"Agricultura, ganadería, caza y silvicultura",28306.986567959855
2009-07-01,"Comercio mayorista, minorista y reparaciones",81211.77029743663
2009-07-01,Construcción,19838.37412359538
2009-07-01,"Electricidad, gas y agua",10671.492628096265
2009-07-01,Enseñanza,22009.324361575123
2009-07-01,Explotación de minas y canteras,24097.20102257492
2009-07-01,Hogares privados con servicio doméstico,3981.557111989757
2009-07-01,Hoteles y restaurantes,9055.662963661074
2009-07-01,Industria manufacturera,115427.80331683898
2009-07-01,Intermediación financiera,22703.735501673065
2009-07-01,"Otras actividades de servicios comunitarias, sociales y personales",17428.12881763334
2009-07-01,Pesca,1890.2751118308065
2009-07-01,Servicios sociales y de salud,18622.60652070496
2009-07-01,"Transporte, almacenamiento y comunicaciones",45277.79854837691
2009-07-01,Total economía,512817.4450283392
2009-10-01,"Actividades inmobiliarias, empresariales y de alquiler",66686.51818885062
2009-10-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,27498.237663656622
